X,text,artist,song,year,album,Release.Date,US.Pop,US.R.B,CA,UK,IR,NL,DE,AT,FR,JP,AU,NZ,peak
777,"I know you're out there
I can feel your eyes on me
Seen that face a thousand times
If only in my dreams
I know you really want me
I can feel your hands on me
I really wanna touch you too
In a way I'm much too shy to speak
And even though I'm all alone
For what it's worth
You're somewhere here on earth
And I like it
I know you're out there
I can feel you getting closer to me
Now I'm just wondering what you're waiting for
You know I am free
In this digital age, you could just page me
I know it's a rage, but it just don't engage me
Like the face to face
Do you want to do this at yours or my place?
It's been so long since I been with somebody
Like a million years
Now you're here on earth
You're here, you're here
Somewhere here on earth
I like it, I like it
Listen
I know you hear me
Like a whisper in your ear
You don't have to fear me
You're everything I hold so dear
I know you already love me
You're probably just too cool to say
Somebody somewhere put you down
But that's okay, that's okay
'Cuz whenever you feel
It's time to heal, no, no more
As long as I'm here on earth",prince,somewhere here on earth,2007,Planet Earth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,"Dear Future Generations,
I think I speak for the rest of us when I say,
sorry, sorry we left you our mess of a planet.
Sorry that we were too caught up in our own doings to do something.
Sorry we listened to people who made excuses,
to do nothing.
I hope you forgive us,
we just didn't realize how special the earth was,
like a marriage going wrong,
we didn't know what we had until it was gone.
For example,
I'm guessing you probably know what is the Amazon Desert, right?
Well believe it or not,
it was once called once called the Amazon Rain forest,
and there were billions of trees there,
and all of them gorgeous and just um.
Oh, you don't know much about trees, do you?
Well let me tell you that trees are amazing,
and I mean, we literally breath the air
they are creating, and they clean up our pollution,
our carbon, store and purify water,
give us medicine that cures ours diseases, food that feeds us.
Which is why I am so sorry, to tell you that,
we burned them down.
Cut them down with brutal machines, horrific,
at a rate of 40 football fields every minute,
that's 50% of all the trees in the world all gone
in the last 100 years.
Why? For this.
and that wouldn't make me so sad,
if there weren't so many pictures of leaves on it.
You know when I was a child,
I read how the Native Americans had such consideration,
for the planet that they felt responsible,
for how they left the land for the next 7 generations.
Which brings me great sorrow, because most of us today,
don't even care about tomorrow.
So i'm sorry, i'm sorry that we put profit over people,
greed over need, the rule of gold above the golden rule.
I'm sorry we used nature as a credit card with no spending limit.
Over drafting animals to extinction,
stealing your chance to ever see their uniqueness,
or become friends with them.
Sorry we poison the ocean so much that you can't even swim in them.
But most of all, i'm sorry about our mindset,
cause we had the nerve to call this destruction,
progress.
Hey Fox News, if you don't think climate change is a threat.
I dare you to interview the thousands of homeless people in Bangladesh,
see while you was in your penthouse nessel,
their homes were literally washed away
beneath their feet due to the rising sea levels,
and Sara Palin, you said that you love the smell of fossil fuels,
well i urge you to talk to the kids of Beijing
who are forced to wear pollution masks just to go to school.
You see you can ignore this, but the thing about truth is,
it can be denied, not avoided.
so i'm sorry future generation,
i'm sorry that our footprints became a sinkhole and not a garden.
I'm sorry that we paid so much attention to ISIS,
and very little how fast the ice is melting in the arctic.
I'm sorry we doomed you
and i'm sorry we didn't find another planet in time to move to.
I ams...
You know what, cut the beat, i'm not sorry.
This future I do not accept it,
because a error does not become a mistake,
until you refuse to correct it,
we can redirect this, how?
Let me suggest that if a farmer sees a tree that is unhealthy,
they don't look at the branches to diagnosis it,
they look at the root, so like that farmer,
we must look at the root,
and not to the branches of the government,
not to the politicians runs by corporations
we are the root, we are the foundation, this generation,
it is up to us to take care of this planet.
it is our only home, we must globally warm our hearts
and change the climate of our souls
and realize that we are not apart from nature,
we are a part of nature.
and to betray nature is to betray us,
to save nature, is to save us,
because whatever you're fighting for,
Racism, poverty, feminism, gay rights,
or any type of equality.
it won't matter in the least,
because if we don't all work together to save the environment,
we will be equally extinct.
Sorry.",prince,sorry baby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592,"Prince
Miscellaneous
Soul Psychodelicide
Can we talk about soul? 
Good Judy wanna dance 2 this? 
Listen Cash, I do believe… 
I do believe that I wanna battle 2night 
Listen Cash (Ooh) 
Don't be sad, there's nothing wrong with your player 
We have taken control as we bring U the new power… 
CHORUS: 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide 
The maxi-pump of power 
Good Judy wanna fly the kite 
The maxi-pump of sheer delight 
Guaranteed 2 pump your body right 
  skippy, we been here before 
We’re just comin' on harder now 
Hard on this feeling 
Holy steppin’ on solid ground (Oh-we-oh) 
Good Judy wanna hear us sing? 
CHORUS 
(The maxi-pump) 
(U wanna try it 2night?) 
All over the world there’s a new soul goin' on 
Brand new singer singin' a brand new song 
Of an age-old story, still got 2 be told 
The spirit can't be bought and it can't be sold 
Because it dwells so deep inside U 
No king could put it there 
2 get it, U gotta want it, U gotta need it, U gotta care 
I'm talkin' about… 
CHORUS 
Good Judy gotta dance 2 this 
Every time U cock it I can hit U on the up 
I got a funky drummer and he just can't get enough 
If U cannot cock it 'less the bass is on the floor 
Then I'll have my mixer give U just a little more (Oh-we-oh) 
I wanna battle 2night 
Good Judy over there with the smoking jacket on 
Look at that body pumpin' 
Move that body strong (Oh-we-oh) 
(Soul Psychodelicide) {x2} 
  skippy, we been here before 
We’re just comin' on harder now 
Hard on this feeling 
Holy steppin’ on solid ground (Oh-we-oh {x2}) 
(Soul Psychodelicide) 
Judy go’n say that? (Oh-we-oh) (Soul Psychodelicide) 
Judy wanna hear me sing? 
CHORUS 
(Oh yeah) 
3 month's in, we got 9 2 go 
Anybody in the house wanna stop this show? (Hell no!) 
The people keep goin' on (Soul goes on and on {x2}) 
Keep dancin' till dawn 
The soul that never stops 
It just goes on and on and on and on... 
(Soul goes on and on) {repeat} 
(CHORUS) {repeat} 
I do believe that I'm diggin' your house 
And like a beautiful raging fire 
Your heart is ready 4 a high 
Good Judy need 2 do it - psychodelicide 
Over and over {repeat} 
And do it - psychodelicide 
Do it - psychodelicide 
Put your hand on my temple 
Put your hand on my heart 
Grind your hips next 2 mine 
Don't U pull apart 
Don't pull apart (Psychodelicide) 
Don't U pull apart 
CHORUS {repeat till end} 
(Soul goes on and…) 
I can't stop this feeling I got {x4}",prince,soul psychodelicide,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,"Prince
Miscellaneous
Soul Psychodelicide (#2)
This is a fuzztone reality 
All the high-tech Muzac in the world 
Can't distort the flashback feedback 
Black light day-glow rock star lover's perception of a party 
They have a wah-wah memory 
Totally rewind 4 soul psychedelica 
Oh, hold it, stop! {Cloreen Baconskin sample} 
Can we talk about soul? 
What is the booty and how will I know if I'm shakin' it? 
(Good Judy wanna dance 2 this?) 
What is the funk and how will I know if I'm fakin' it? {x2} 
What is the booty and how will I know if I'm shakin' it? 
What is the funk and how will I know if I'm fakin' it? 
Listen Cash (Ooh) 
Don't be sad, there's nothing wrong with your player 
(We have taken control) 
We have taken control as we bring U the new power... 
CHORUS: 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide (It's a heavenly thing) 
Soul Psychodelicide 
The maxi-pump of power 
Good Judy wanna fly the kite 
The maxi-pump of sheer delight 
Guaranteed 2 pump your body right 
  skippy, we been here before 
We're just comin' on harder now 
Hard on this feeling 
Holy steppin' on solid ground (Oh-we-oh) 
Good Judy wanna hear us sing? 
CHORUS 
(The maxi-pump) 
(U wanna try it 2night?) 
All over the world there's a new soul goin' on 
Brand new singer singin' a brand new song 
Of an age-old story, still got 2 be told 
Put your foot on the rock 
Let's see what U got 
If U're funkin' in the red 
Psychedelic (hot) soul 
CHORUS 
(This is the place 2 showcase your body skills, baby) 
(Good Judy gotta dance 2 this) 
What is the booty and how will I know if I'm shakin' it? 
(Every time U cock it I can hit U on the up) 
What is the funk and how will I know if I'm takin' it? 
(I got a funky drummer and he just can't get enough) 
What is the booty and how will I know if I'm shakin' it? 
What is the funk and how will I know if I'm fakin' it? 
This is the place 2 showcase your body skills, baby 
(If U cannot cock it 'less the bass is on the floor) 
This is the place 2 showcase your body skills 
(Then I'll have my mixer give U just a little more) (Oh-we-oh) 
(I wanna battle 2night) 
Good Judy over there with the smoking jacket on (Mm, well well well!) 
Look at that body pumpin' (Look at it) 
Move that body strong (Shake your money, baby) (Oh-we-oh) 
(Soul Psychodelicide) {x2} (Oh yeah!) 
  skippy 
What is the booty and how will I know if I'm shakin' it? (Soul) 
Hard on this feeling 
Holy steppin' on solid ground (I'm cookin') 
Put it in the oven and then U know U're bakin' it 
Put it in hot water and U know U're boilin' it 
Put it in the oven and then U know U're bakin' it 
Soul psychedelic, soul psychedelica 
CHORUS 
3 month's in, we got 9 2 go 
Anybody in the house wanna stop this show? (Hell no!) 
(The people keep goin' on) (Soul goes on and on {x2}) 
(Keep dancin' till dawn) 
(The soul that never stops) 
(It just goes on and on and on and on...) 
(Soul goes on and on) {repeat} 
(CHORUS) {repeat} 
(I do believe that I'm diggin' your house) 
(And like a beautiful raging fire) 
(Your heart is ready 4 a high) 
(Good Judy need 2 do it - Psychodelicide) 
(Over and over) {repeat} 
(And do it - Psychodelicide) 
(Do it - Psychodelicide) 
(Put your hand on my temple) 
(Put your hand on my heart) 
(Grind your hips next 2 mine) 
(Don't U pull apart) 
Psychodelicide (Don't pull apart ) 
(Don't U pull apart) 
(Soul goes on and...) 
(CHORUS) 
This is the place 2 showcase your body skills, baby 
Pump it like a hunk of funk ENVELOPING your body 2day 
Solid as a rock, we roll all over U (Good God) 
Pumpin' it with a big pump (This feeling I got) 
Pumpin' it with a big pump (I can't stop this feeling I got) 
Pumpin' it with a big pump 
Humpin' it with a big hump 
Pumpin' it with a big pump 
What is the booty and how will I know if I'm shakin' it? (Yeah) 
Put it in the oven and then U know U're bakin' it 
Soul Psychodelicide {x6} 
Rock, rock the body, rock 
Rock the body, baby, out on the dance floor 
When the music stop, baby begging U 4 more, cuz the... 
Me rockin' like a rock star (woo woo woo woo) 
We be funkin' over here, over there ain't   {x4} 
Soul Psychodelicide {repeat till end} 
Ahhh   {x2} 
Solid as a rock {repeat} {fadeout}",prince,soul psychodelicide 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"Loving you in silence, knowing that it's right
Under your gaze I ponder this love tonight
Unbothered by the chaos swirling 'round outside
In your arms is where I want to live and die
Someplace where your face is all that I see
Where the love we make intoxicates intensively
In a mirror where your sweet reflection used to be
There is hope, there is joy, my soul sanctuary, my soul sanctuary
Loving you in silence, never-ending kiss
Under your gaze I can peacefully exist
Sanctuary baby, nothing compares to this
In my darkest hour you can be my bliss, bliss
All of me, I give to thee, down at your feet
The reassurance in your rhythm speaks to me
Over and over, your s s are like a prayer
In the dark, you are there, you are there
My soul sanctuary, ooh, my soul sanctuary
Loving you in passion unmolested in this garden
Mango and nectarine, sweet honeydew, I beg your pardon
My mouth runneth over from ecstasy
It's true, it's true baby, I love the taste of you
Loving you in silence, knowing that it's right
Under your gaze, I ponder this love tonight
Unbothered by the chaos swirling around outside
In your arms is where I wanna live and die
Someplace, someplace, where your face is all that I see, all that I see
Where the love we make intoxicates intensively, intensively
In a mirror, mirror, where your sweet, sweet, reflections used to be
There is hope, there is joy, my soul sanctuary, my soul sanctuary
My, my, my, my, my soul, my soul sanctuary, oh, my soul sanctuary",prince,soul sanctuary,1996,Emancipation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Space
I've never been one to hide my feelings
Baby, you blow my mind
I painted your face upon my ceiling
I stare at it all the time
I imagine myself inside your bedroom
Oh, I imagine myself in your sky
You, you're the reason there's bass in my boom
Oh you, you're the reason I'm high
If you and I were just ten feet closer
Then I'd make you understand
Everything I wanna do to your body, baby
I would do to your head
Then you'd be hip to the deep rush
Deeper than the boom of the bass
With every other flick of the pink plush
The closer we get to the space
The space
The space
The space
Don't you want to go?
The space
Where the souls go
The space
Where the tears flow
The space
Where the love grows
Do you want to go?
I never been one for this thing obsession
But just keep your eye on my hips
The circles they may be my confession
Just say the word and I'll strip
I've had dreams of us cuddling on the Planet Mars
Then when I wake up, I'm all covered in sex
With eyes that fall somewhere between rubies and stars
Don't look at me baby or I'll flex
If you and I were just ten feet closer
Then I'd make you understand
That everything I wanna do to your body, baby
I would do to your head
Then you'd be hip to the deep rush
Deeper than the boom of the bass
With every other flick of the pink plush
The closer we get to the space
The space
Go
The space
Flow
The space
Grow
Do you want to go?
The space
Where the souls go
The space
Where the tears flow
The space
Where the love grows
Do you want to go?
Bass
The space, the space, the space
The space, the space, the space
Closer we get to the space
The space, the space, the space, the space",prince,space,1994,Come,1 Nov. 1994,-,71,-,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,71
594,"Prince
Miscellaneous
Space (Funky Stuff Dub)
[Controversy Music, ASCAP - 1994] 
 Ain't gonna stop, till you give me some of that funky stuff
 Ain't gonna stop, (Space) till you give me some of that funky stuff
 I never been one 2 hide my feelings
 Baby, u blow my mind, ow
 I painted your face upon my ceiling
 I stare at it all the time, yow
 (I) Imagine myself inside your bedroom 
 (Oh, I) Imagine myself in your sky
 (U) U are the reason there's bass in my boom
 (Oh, U) U are the reason I'm high, ow
 If u and I were just ten feet closer
 Then i'd make u understand
 That everything i wanna do 2 your body, baby
 I would do 2 your hand   
 Then u'd be hip 2 the deep rush
 Deeper than the boom of the bass
 With every other flick of the pink plush
 The closer we get 2 the space  (The closer we get 2 the space)
 Ain't gonna stop,     (The Space)
 till you give me some of that funky stuff (Oh, Don't U want 2 go?)
 Ain't gonna stop,     (Where the souls go)
      (The Space)
      (Where the tears flow)
 till you give me some of that funky stuff (Where the love grows)
      (Do U want 2 go?)
 I never been one 4 this thing obsession
 But just keep your eye on my hips, ow
 The circles they make will be my confession
 Just say the word and I'll strip, yow
 I've had dreams of us cuddling on the planet mars
 Then when i wake up, I'm all covered in sex
 With eyes that fall somewhere between rubies and stars
 Please don't look at me girl or I will flex, yow, ow (Don't look at me baby)
 If u and I were just 10 feet closer 
 Then I'd make u understand
 That everything I wanna do 2 your body, baby
 I would do 2 your hand
 Then u'd be hip 2 the deep rush
 Deeper than the boom of the bass
 With every other flick of the pink plush
 The closer we get 2 the space  
 Ain't gonna stop   (Go)
     (The Space)
     (Flow)
 Till U give me some of that funky stuff (Grow)
     (Do U want 2 go?)
 I Ain't gonna stop   (Where the souls go)
     (The Space)
     (Where the tears flow)
 Till U give me some of that funky stuff (Where the love grows)
     (Do U want 2 go?)
     (Space)
 Funk-Funk-Funky stuff
 Bass
 I Ain
I Ain't gonna stop 
 Till U give me some of that funky stuff 
 I Ain't gonna stop 
 I Ain't gonna stop 
 Till U give me some of that funky stuff
 I Ain't gonna stop 
 I Ain't gonna stop 
 Till U give me some of that funky stuff 
 I Ain't gonna stop 
 I Ain't gonna stop 
 Till U give me some of that funky stuff (Space)
     (The Space)
     (The Space)",prince,space funky stuff dub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"Prince
Miscellaneous
Splash
I called you on the phone
You knew it was me all along
You didn't even say hello 
Cause you don't need words to let me know
All the things that you do to me 
You fulfill my every fantasy 
Splash - I'm under your power
Splash - I could go for hours 
Splash - You could devour me
And I'd only want you more 
Oh, when you make love to me
There's things I never thought I'd see 
I cherish [...]
[...] in every sea
Oh, I love when you play with me
Ask your mom if you could stay with me 
Splash - I'm under your power
Splash - I could go for hours 
Splash - You could devour me
And I'd only want you more 
Our love is a rhythm
Together we'll have so much fun 
You go from room to room
Leaving traces of your sweet perfume
If I could I'd bottle it 
Everybody should know the feelin' I get
When I'm in your cool embrace
Your lips, your arms, your legs, your face 
Splash - I'm under your power
Splash - I could go for hours 
Splash - You could devour me
And I'd only want you more 
I want you more and more and more 
Splash
Splash
Splash
Splash
Splash
Splash.",prince,splash,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Who will b a guest in Ur tent?
Certainly not the ones who don't wanna repent
And keep giving guns 2 the poorest of our nation's sons
Who is gonna call U by name
With no confusion, trinity or preacher's vain?
Who says that every time
And opens up the eyes of the blind?
Who will b the 1 in his bed?
Certainly not the 1 who put the thorns on his head
And wished him dead while they took his daily bread
Which 1 is of value to U?
The 1 depleting the oil supply
Or the One that renews it?
And keeps the peace
Like the groove in Sade's Sweetest Taboo
Give it to me, give it to me
The sweetest
Give it to me, give it to me
Ooo, give it to me, give it to me
The sweetest
Who will b a guest in Ur tent?
R U gonna b happy with how Ur life is spent?
Did U have open arms 4 each and everybody U met?
Or did U let them die in the rain
Endless war, poverty or hurricane?
It's time 4 another groove
Like Sade's Sweetest Taboo
Oh, give it to me, give it to me
The sweetest
Oh, give it to me, give it to me
Oh, give it to me, give it to me
The sweetest
C'mon, c'mon
Oh, give it to me, give it to me
The sweetest
Give it to me, give it to me
Oh, give it to me, give it to me
The sweetest
Oh yeah
{To the breakdown
Be cool everybody
New Orleans}",prince,sst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,"Prince
Miscellaneous
S.T.
{""Alright"" sample repeats through song} 
Yo Tony, man, check that out 
Ah man, U late, that's already cash (Skin Tight) 
This is mine, let me push up on it (Yeah) 
Excuse me (They call me Skin Tight) 
Excuse me, may I have this dance? (What's my name?) 
U better chill 
Hmph, what's your name? 
My name is Carmen 
Yeah (Skin Tight) 
Carmen 
Yo Ron, later (Yeah) 
Hmm baby 
Hmm baby, sure lookin' kinda right 
I must say the future sure looks bright 
Ooh, U like this, do ya? 
But does it move ya? 
Wipe your mouth, composure is gone 
U're not 2 smooth 
Ah, hold up baby, I don't think U understand what I'm sayin' 
I'm never first 2 approach, I'm usually layin' 
But what U layin' 4? 
U got 2 go 4 yours, ain't that right? 
Now what's your name? 
They call me Skin Tight 
U know that's right 
What's my name? Skin Tight (Mm mm mm) 
Skin Tight (Yeah) 
What's my name? Skin Tight 
This is mine, baby 
Baby, come over here, let's chill and sit down 
Those skin tight britches bustin' stitches make me wanna clown 
U're kinda cute but your approach is wrong 
I like the little boy in U and not the man that's tryin' 2 be sprung 
What do U mean? 
Enough questions, let's have fun 
Besides, I hate it when a brother's got it goin' and he plays dumb 
Confidence is the one thing I like 
And I thank God because he packaged it right 
Yeah, ha ha ha,   
Skin Tight (Mm mm mm,  ) 
What's my name? Skin Tight (That's right) 
Skin Tight (Yo, that's right, let's get outta here) 
I'll drive 
It's ripe, but firm 
Ooh ooh (That's right, that's right) (Carmen) 
Smile when U say that whistling (What do U mean?) (Carmen) 
What's my name? Skin Tight 
U better chill 
Skin Tight (That's right) 
U better chill 
Skin Tight - I used 2 hear that back in the day 
Yo bet, that's why it ain't played 
The 90's are here - what do U most fear? 
It surely ain't my body cuz I got U grinnin' from ear 2 ear 
 , that was hard, U pulled my card 
Make me wanna bogard 
Patience baby, a man who waits I hold with high regard 
Like fine wine it takes time before a relationship is firm 
And my time U must earn 
And I'm willing 
Yeah, but are U able? 
Skin Tight (What do U mean?) (Yeah) 
This is mine, baby 
Skin Tight (Come here) 
Crawl here 
Mmm mmm, yeah 
They call me Skin Tight 
U say U like the line that goes up the back of my stockings? 
(Yeah, I like that) 
(Yeah) (""Ha ha ha"") {x4} 
Skin Tight 
What's my name? Skin Tight (Lookin' kinda right) 
(Whatever U wanna do now, plan it out) 
Pardon me while I make a withdrawal 
Skin Tight 
(There's somethin' about this love) {repeats in BG} 
Not bad 4 a rookie 
I'm outta here 
Now what's my name? (Carmen) 
Ooh, Skin Tight 
Yeah (Yeah) 
Ooh (That's right) 
This is mine, baby 
Skin Tight 
This is mine, baby 
Skin Tight",prince,st,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Why? I got the news just yesterday
They said you up and ran away
All because of what somebody said
I spent my wedding night alone in bed
'Cuz you left me standing at the altar
You left big tears in my eyes
(Tears in my eyes)
You didn't even stop to ask me who
What or where or why
Ever since the day that we first met
Everybody been jealous as they could get
(They could get)
People sayin' this and sayin' that
(Sayin' that)
Struck us, struck us out before we even got to bat
Hey, you left me standing at the altar
You left big tears in my eyes
(Tears in my eyes)
You didn't even stop to ask me who
What or where or why
How could you do this, how could you leave?
When you knew how much you meant to me
(You meant to me)
I gave to you more than I've given any friend
Just to have you give it all back in the end
You left my poor heart broken
You left my world in a daze
(In a daze)
If I could, I'd write a letter to you
But I don't know what to say
I don't know what to say
I got the news just yesterday
They said you up and ran away
If there's a God way up above
One day you'll have to answer to him for my love
You left me standing at the altar
You left big tears in my eyes
You didn't even stop to ask me who, what or where or why
You left my poor heart broken
You left my world in a daze
(In a daze)
If I could, I'd write a letter to you
But I don't know what to say
I don't know what to say
(You left me standing at the altar)
You better stop doggin' me baby, yeah
I can't take it no more
I can't take it no more, baby
(You left my poor heart broken)",prince,standing at the altar,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,"Oh baby
First things first, we'd like you to stare
We used to go on stage in our underwear
We changed up, we got a brand new beat
Now we got the summers poppin' in the street
They all stare, can I help you?
Everybody jam cause this party's goin' ham
Just stare, can I help you?
Ain't nobody stoppin' cause we got this party poppin' now
Second things first, we know you got thirst
But we like it when you're fiening for the funk until it hurts
Jump, air, can you blame me?
Every time you whip it to the beat, it make a brother just stare
Sister freak me
Nobody got a chance
You need to back up, let me show you how to dance
Stare, can I get a kiss?
I pull out a tune
Curvy ma, tell me what you wanna do
Do you wanna
Uh-uh-uh-uh-ahh-ahh
Uh-uh-uh-uh-ahh-ahh
Do you wanna
Uh-uh-uh-uh-ahh-ahh
Sexy dance now
Uh-uh-uh-uh-ahh-ahh
Sexy dance now
Do you wanna
Uh-uh-uh-uh-ahh-ahh
Uh-uh-uh-uh-ahh-ahh
Do you wanna
You don't wanna sneak it
Cause you know we couldn't take it
But we like it when you shake it
Baby careful not to break it
Don't break it now
Do you wanna
Uh-uh-uh-uh-ahh-ahh
Uh-uh-uh-uh-ahh-ahh
Last things last
I need your number fast
I'd rather let the music talk
While you and me walk into the past
Into the past
Into the
Stare
Stare
Stare
Stare
Stare",prince,stare,2015,Hit n Run Phase Two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,"It was 7:45, we were all in line to greet the teacher Miss Cathleen
First was Kevin, then came Lucy, third in line was me
All of us where ordinary compared to Cynthia Rose
She always stood at the back of the line, a smile beneath her nose
Her favorite number was 20 and every single day
If you asked her what she had for breakfast, this is what she'd say
Starfish and coffee, maple syrup and jam
Butterscotch clouds, a tangerine and a side order o' ham
If you set your mind free, baby, maybe you'd understand
Starfish and coffee, maple syrup and jam
Cynthia wore the prettiest dress, with different color socks
Sometimes I wondered if the mates where in her lunch box
Me and Lucy opened it when Cynthia wasn't around
Lucy cried, I almost died, you know what we found
Starfish and coffee, maple syrup and jam
Butterscotch clouds, a tangerine and a side order o' ham
If you set your mind free, baby, maybe you'd understand
Starfish and coffee, maple syrup and jam
Cynthia had a happy face, just like the one she'd draw
On every wall, in every school
But it's all right, it's for a worthy cause
Go on, Cynthia, keep singin'
Starfish and coffee, maple syrup and jam
Butterscotch clouds, a tangerine and a side order o' ham
If you set your mind free, baby, maybe you'd understand
Starfish and coffee, maple syrup and jam",prince,starfish and coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,"Prince
The Beautiful Experience
Staxowax
Girl, oh girl {x2} (Girl)
Ooh baby, baby, ooh baby {x2} 
(Like he said, U're a sexy mutha) {repeated throughout song}
Could U be the most beautiful girl in the world? Ooh
(Could U be?)
It's plain 2 see U're the reason that God made a girl
Oh, yes U are 
When the day turns into the last day of all time 
I can say I hope that U are in these arms of mine, oh yes 
And when the night falls before that day I will cry
I will cry tears of joy cuz after U all one can do is die, oh hey, yeah
Ooh baby, baby, ooh baby
Could U be the most beautiful girl in the world? Ooh
It's plain 2 see U're the reason that God made a girl 
Oh, yes U are 
How can I get through days when I can't get through hours? 
I can try but when I do I see U and I'm devoured, oh yes I am
Who'd allow, who'd allow a face 2 be soft as a flower? Ooh 
I could bow and feel proud in the light of this power 
Ooh ya got it?
Ooh baby, baby, ooh baby
Could U be the most beautiful girl in the world? 
Could U be? 
It's plain 2 see U're the reason that God made a girl 
Oh, yes U are 
And when the stars fall one by one from the sky
I know Mars a-could not be 2 far behind 
Cuz baby, this kind of beauty has got no reason 2 ever be shy 
Cuz honey, this kind of beauty is the kind that comes from inside 
Ooh baby, baby, ooh baby
Could U be the most beautiful girl in the world? 
So beautiful, beautiful 
It's plain 2 see U're the reason that God made a girl 
Ooh baby {x2} (Ooh baby)
Could U be the most beautiful girl in the world?
Ow! I wanna know, I wanna know
It's plain 2 see U're the reason that God made a girl 
U're the reason, oh yes U are
And if the stars ever fell one by one from the sky, oh yes
(Could U be the most beautiful girl in the world?)
I know Mars could not be 2 far behind 
(It's plain 2 see U're the reason that God made a girl)
(Could U be the most beautiful girl in the world?)
So beautiful, beautiful
Could U be the most beautiful girl in the world?) {x2}
(Ooh baby, baby, ooh baby) {x2}",prince,staxowax,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,"Prince
Miscellaneous
Step To The Mic
Step 2 the mic, step 2 the mic, step {x4} 
Now U can jump 2 the mic or U can step 2 it 
Rollin' on a groove I guarantee U'll break your neck 2 it 
Oh, U think my color is controllin' how I deal it 
Funk is in my round buns baby, I can feel it 
Can I come correct? Bet! - Roll up on the set, check 1, check 2 
Smooth as I slide through turnin' heads, call the feds 
Cuz nobody wants 2 miss the 
Honey steppin' 2 the mic, funky soul sister 
Step 2 the mic, step 2 the mic, step {x4} 
Sneakin' around a rhyme style as if it was a corner 
Carmen Electra's on a mission, I better warn ya 
Slick is in my dialect, huh, don't try 2 fight it 
When push comes 2 shove if U don't like it, U can bite it 
But don't play yourself into believin' that a white girl can't jump 
That's a sucker move and U know it is a big front 
So just act like U know jack 
When I'm steppin' 2 the mic - get back, get back 
Step 2 the mic, step 2 the mic, step {x4} 
Keep steppin', keep steppin' 
Step 2 the mic, step 2 the mic, step {x4} 
Now keep steppin' 
Makin' moves, makin' moves U know is what I'm doin' 
Check the flow of the rhythm that I'm steppin' 2 and 
Here I go and U know that I'm wreckin' it 
There will be no mistakin' and no forgettin' it 
Look alive, yo, I'm in this arena 
U don't need an eye test, I'm not a misdemeana 
So throw up a fist and make sure it pops 
When I'm steppin 2 the mic, a sucker chump gets dumped 
Step 2 the mic, step 2 the mic, step {x4} 
Now step on, step on 
Step 2 the mic, step 2 the mic, step {x4} 
Now step on, step on yo 
Keep, keep steppin', keep steppin' yo 
Just keep, keep steppin', keep steppin' yo 
Step 2 the mic and keep steppin', step on 
Step 2 the mic and keep steppin', step on yo 
Uh, 2 the beat yeah 
Uh, 2 the beat, Carmen Electra 2 the beat yeah 
Uh, 2 the beat, Carmen Electra 2 the beat, 2 the beat, 2 the beat 
Keep steppin' 2 the beat, beat, beat 
And yo, step, uh, keep steppin', keep steppin' yo 
Yes, step, uh, keep steppin', keep steppin' yo 
Step, step on this, step, step on yo 
Step, step on and step, step on 
Step-ups 2 down and took a round yo 
Step-ups 2 down and took a round yo 
Uh, and keep steppin', keep steppin', keep steppin', step on 
Uh, and keep steppin', keep steppin', step on, huh",prince,step to the mic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
